	HCT_WT2	SW837D	R1-1	HCT_WT3	SW837	HCT116	HCT_WT1	SW620	R1-2	R1-3
ENSG00000179826	0	0	0	0	0	0	0	0	0	0
ENSG00000255470	0	0	0	0	0	1	0	0	0	0
ENSG00000254857	0	0	0	0	0	0	0	0	0	0
ENSG00000179817	0	0	0	0	0	0	0	1	0	0
ENSG00000255138	0	0	0	0	1	0	0	0	0	0
ENSG00000254546	0	0	0	0	0	0	0	0	0	0
ENSG00000189332	0	0	0	0	0	1	0	0	0	0
ENSG00000148965	0	0	0	0	0	0	0	0	0	0
ENSG00000255071	0	0	0	0	0	0	0	0	0	0
ENSG00000134339	1	0	1	0	2	0	1	0	1	0
ENSG00000200336	0	0	0	0	0	0	0	0	0	0
ENSG00000212789	1	0	0	3	6	11	6	9	1	3
ENSG00000173432	0	1	0	0	0	1	0	0	0	0
ENSG00000201695	0	0	0	0	0	0	0	0	0	0
ENSG00000110756	725	169	515	751	857	1245	846	1318	605	534
ENSG00000110768	1073	221	980	1162	980	1471	1499	1945	974	960
ENSG00000264603	0	0	0	2	0	0	0	0	0	0
ENSG00000134333	13053	3843	10139	18741	16153	28981	9227	28024	15405	14881
ENSG00000256006	22	3	7	20	18	17	8	13	11	4
ENSG00000166796	9	0	4	3	0	0	1	1	2	4
ENSG00000256734	0	0	0	0	0	0	1	0	0	0
ENSG00000166800	1	0	0	0	0	0	0	0	0	0
ENSG00000074319	1067	172	946	847	1071	1642	1691	2388	722	583
ENSG00000256464	6	2	4	4	5	4	15	23	5	3
ENSG00000256588	21	1	5	13	1	6	23	15	2	1
ENSG00000256361	16	4	5	9	7	10	17	14	8	4
ENSG00000151116	476	106	351	259	620	656	648	763	239	261
ENSG00000274589	0	0	0	1	0	1	0	0	0	0
ENSG00000247595	37	8	25	42	31	25	59	59	16	15
ENSG00000256282	0	0	1	0	0	0	1	0	0	0
ENSG00000279837	22	1	7	22	3	7	22	13	14	10
ENSG00000179119	1086	165	799	1137	1223	1728	1563	2108	840	774
ENSG00000257043	2	0	6	1	1	0	3	0	6	4
ENSG00000151117	27	6	50	11	70	53	58	98	7	7
ENSG00000179057	0	0	0	0	0	7	0	15	0	0
ENSG00000254966	2	0	4	0	3	8	11	22	0	0
ENSG00000110786	0	0	0	0	0	0	0	1	0	0
ENSG00000276789	0	0	0	0	0	0	0	0	0	0
ENSG00000254529	0	0	0	0	0	0	0	0	0	0
ENSG00000255511	0	0	0	0	0	0	0	0	0	0
ENSG00000254541	0	0	0	0	0	0	0	0	0	0
ENSG00000255536	0	0	0	0	0	1	0	0	0	0
ENSG00000170255	0	0	0	0	0	0	0	0	0	0
ENSG00000255244	0	0	0	0	0	0	0	0	0	0
ENSG00000254738	0	0	0	0	0	0	0	0	0	0
ENSG00000254720	0	0	0	0	0	0	0	0	0	0
ENSG00000255424	0	0	0	0	0	0	0	0	0	0
ENSG00000183695	0	0	0	0	0	0	0	0	0	0
ENSG00000177054	285	89	280	171	535	901	653	1021	115	114
ENSG00000129170	0	0	0	0	0	0	0	0	0	0
ENSG00000255308	8	0	1	3	10	2	7	5	0	0
ENSG00000129173	855	154	629	1190	779	903	1165	517	826	750
ENSG00000254544	0	0	0	0	1	0	0	1	0	0
ENSG00000255160	1	1	2	1	0	0	3	2	1	0
ENSG00000166833	26	170	253	62	914	189	173	8593	54	51
ENSG00000255270	0	0	0	0	0	0	1	68	0	0
ENSG00000200687	0	0	0	0	0	0	0	0	0	0
ENSG00000255043	0	0	0	0	0	0	0	1	0	0
ENSG00000254622	0	2	0	0	0	0	0	2	0	0
ENSG00000265210	0	0	0	0	0	0	0	6	0	0
ENSG00000207407	0	0	0	0	0	0	0	0	0	0
ENSG00000270607	5	0	9	5	4	2	13	35	2	1
ENSG00000264309	0	0	0	0	0	0	0	0	0	0
ENSG00000254542	0	0	0	0	0	0	0	0	0	0
ENSG00000254453	0	0	0	0	0	2	0	6	0	0
ENSG00000254894	0	0	0	0	0	0	0	0	0	0
ENSG00000279266	0	0	0	0	0	0	0	6	0	0
ENSG00000109851	0	0	0	0	0	0	0	4	0	0
ENSG00000109854	1138	562	1268	1089	2960	1060	1569	1292	921	746
ENSG00000185238	882	451	447	1137	1574	1128	996	1819	797	730
ENSG00000255291	0	0	1	0	0	1	0	0	2	0
ENSG00000165970	0	0	0	0	0	1	0	0	0	0
ENSG00000165973	0	0	0	0	0	1	0	0	0	0
ENSG00000254906	0	0	0	0	0	0	0	0	0	0
ENSG00000201059	0	0	0	0	0	0	0	0	0	0
ENSG00000254816	0	0	0	0	0	0	0	0	0	0
ENSG00000255167	0	0	0	0	0	0	0	0	0	0
ENSG00000225477	0	0	0	0	0	0	0	0	0	0
ENSG00000252816	0	0	0	0	0	0	0	0	0	0
ENSG00000254820	0	0	0	0	0	0	0	0	0	0
ENSG00000171714	0	0	0	0	2	130	0	0	0	0
ENSG00000255372	0	0	0	0	10	0	0	0	0	0
ENSG00000254768	0	0	0	0	1	0	0	0	0	0
ENSG00000091664	0	0	0	0	1	0	0	0	0	0
ENSG00000254540	0	0	0	0	0	0	0	0	0	0
ENSG00000255323	0	0	0	0	0	0	0	0	0	0
ENSG00000255357	0	0	0	0	0	0	0	0	0	0
ENSG00000183161	297	109	453	228	571	257	449	915	197	162
ENSG00000148935	6	4	0	10	9	2	7	61	1	2
ENSG00000222427	0	0	0	0	0	0	0	0	0	0
ENSG00000198168	835	211	415	512	1096	433	1068	1436	693	643
ENSG00000246225	15	0	11	5	2	2	40	9	2	2
ENSG00000255359	0	0	0	0	0	0	0	0	0	0
ENSG00000255418	7	0	12	0	0	0	11	0	0	0
ENSG00000271491	0	0	0	0	0	0	0	0	0	0
ENSG00000255293	0	0	0	0	1	0	0	1	0	0
ENSG00000275868	0	0	0	0	0	0	0	0	0	0
ENSG00000254564	0	0	0	0	0	0	0	0	0	0
ENSG00000254465	0	0	0	0	0	0	3	0	0	0
ENSG00000240881	0	0	0	0	0	0	0	0	0	0
ENSG00000255193	0	0	0	0	0	0	0	0	0	0
ENSG00000254861	0	0	0	0	0	0	0	0	0	0
ENSG00000252519	0	0	0	0	0	0	0	0	0	0
ENSG00000277803	0	0	0	0	0	0	0	0	0	0
ENSG00000254594	0	0	0	0	0	0	0	0	0	0
ENSG00000207252	0	0	0	0	0	0	0	0	0	0
ENSG00000187398	0	0	2	0	0	0	0	0	0	0
ENSG00000255489	0	0	0	0	0	0	0	0	0	0
ENSG00000255368	0	0	0	0	0	0	0	0	0	0
ENSG00000240298	0	0	1	0	0	0	0	0	0	0
ENSG00000255454	0	0	0	0	0	0	0	0	0	0
ENSG00000254456	0	0	0	0	0	0	0	0	0	0
ENSG00000254754	0	0	0	0	0	0	0	0	0	0
ENSG00000255086	0	0	0	0	0	0	0	0	0	0
ENSG00000255243	0	0	0	0	0	0	0	0	0	0
ENSG00000254819	0	0	0	0	0	0	0	0	0	0
ENSG00000134343	0	0	3	0	13	0	0	0	0	0
ENSG00000255505	0	0	0	0	0	0	0	0	0	0
ENSG00000169550	0	1	4	0	1	0	2	0	0	0
ENSG00000148942	0	0	1	0	0	0	1	1	0	0
ENSG00000176971	1	0	0	0	0	0	0	0	0	0
ENSG00000129151	0	0	0	0	1	0	0	0	0	0
ENSG00000254560	21	0	14	8	0	0	54	128	4	5
ENSG00000109881	196	157	211	240	604	467	273	976	236	196
ENSG00000205213	832	242	425	536	1851	377	1119	595	473	441
ENSG00000254862	3	0	2	3	2	1	7	0	1	2
ENSG00000242527	0	0	1	0	0	0	0	0	1	1
ENSG00000148943	3093	643	1813	1950	3572	3662	3819	4076	2210	1938
ENSG00000245573	15	4	78	4	22	43	99	20	0	3
ENSG00000278483	0	0	0	0	0	0	0	0	0	0
ENSG00000212289	0	0	0	0	0	0	0	0	0	0
ENSG00000240036	6	0	3	3	5	13	10	3	0	0
ENSG00000254934	0	0	0	0	0	0	0	0	0	0
ENSG00000176697	49	137	29	64	339	3164	35	6	39	40
ENSG00000255496	5	5	2	10	11	61	3	0	1	1
ENSG00000177447	0	0	0	0	2	1	0	0	1	0
ENSG00000224411	118	30	7	187	101	91	68	55	73	74
ENSG00000255094	17	1	4	13	1	8	11	2	2	3
ENSG00000121621	650	328	477	579	1728	2898	651	1770	596	532
ENSG00000207874	0	0	0	0	0	0	0	0	0	0
ENSG00000169519	667	88	388	448	571	1310	955	1004	232	201
ENSG00000271332	0	0	0	0	0	0	0	0	0	0
ENSG00000222385	0	0	0	0	0	0	0	0	0	0
ENSG00000238149	0	0	0	0	0	0	0	0	0	0
ENSG00000273912	0	0	0	0	0	0	0	0	0	0
ENSG00000254606	5	4	3	3	9	2	6	2	0	1
ENSG00000248990	0	0	0	0	0	0	0	0	0	0
ENSG00000249867	0	1	0	0	1	2	0	0	0	0
ENSG00000272882	0	0	0	0	0	0	0	0	0	0
ENSG00000254526	0	0	0	0	0	1	0	0	0	0
ENSG00000255450	0	0	0	0	2	0	0	0	0	0
ENSG00000254530	0	0	0	0	0	0	0	0	0	0
ENSG00000255281	0	0	0	0	0	1	0	0	0	0
ENSG00000255227	0	0	0	0	0	0	0	0	0	0
ENSG00000255029	0	0	0	0	0	0	0	0	0	0
ENSG00000255117	0	0	0	0	0	0	0	0	0	0
ENSG00000255047	0	0	0	0	0	0	0	0	0	0
ENSG00000254734	0	0	0	0	0	0	0	0	0	0
ENSG00000243505	0	0	0	0	0	0	0	0	0	0
ENSG00000240554	0	0	0	0	0	0	0	0	0	0
ENSG00000261340	0	0	0	0	0	0	0	0	0	0
ENSG00000182255	0	0	0	0	1	0	0	0	0	0
ENSG00000254532	2	0	0	0	0	0	0	0	0	0
ENSG00000255288	0	0	0	0	0	0	0	0	0	0
ENSG00000131808	0	0	0	0	0	0	0	0	0	0
ENSG00000152219	484	127	409	463	509	830	730	1041	382	361
ENSG00000242353	0	0	0	0	0	0	0	0	0	0
ENSG00000066382	0	0	0	0	0	0	0	0	0	2
ENSG00000255480	0	0	0	0	0	0	0	0	0	0
ENSG00000254489	0	0	0	0	0	0	0	0	0	0
ENSG00000170959	12	3	131	1	21	36	73	16	5	5
ENSG00000255370	0	0	4	0	0	0	0	0	0	1
ENSG00000255525	0	0	0	0	0	0	0	0	0	0
ENSG00000170946	302	73	247	249	302	487	416	648	230	229
ENSG00000148950	353	75	146	291	374	255	420	390	202	194
ENSG00000109911	842	145	475	547	779	705	1105	1253	484	415
ENSG00000228061	0	0	0	0	0	0	0	1	0	0
ENSG00000007372	70	9	45	107	63	43	88	744	85	95
ENSG00000049449	3337	1131	2674	2786	5208	5521	6022	6162	1817	1611
ENSG00000281880	0	1	0	0	3	0	0	0	0	0
ENSG00000254584	0	0	0	0	0	0	0	0	0	0
ENSG00000254836	0	0	0	0	0	0	0	0	0	0
ENSG00000254627	0	0	0	0	0	0	0	0	0	0
ENSG00000212551	0	0	0	0	0	0	0	0	0	0
ENSG00000255490	0	0	0	0	0	0	0	0	0	0
ENSG00000255252	0	0	0	0	0	2	1	2	1	0
ENSG00000227160	0	0	0	0	2	0	0	0	0	0
ENSG00000255375	0	0	0	0	0	0	0	0	0	0
ENSG00000184937	0	2	0	0	4	1	0	590	0	0
ENSG00000183242	0	0	0	0	0	0	0	115	0	0
ENSG00000278822	0	0	0	0	0	0	0	0	0	0
ENSG00000273677	0	0	0	0	0	0	0	4	0	0
ENSG00000278045	0	0	0	0	0	0	0	0	0	0
ENSG00000276530	0	0	0	0	0	0	0	0	0	0
ENSG00000273908	0	0	0	0	0	0	0	0	0	0
ENSG00000277119	0	0	0	0	0	0	0	0	0	0
ENSG00000149100	3885	1183	3491	4008	4606	6451	6364	8354	4038	3765
ENSG00000270903	0	0	0	0	0	1	0	0	0	0
ENSG00000186714	3	1	3	3	0	2	1	4	3	0
ENSG00000244535	0	0	0	0	0	0	0	0	0	0
ENSG00000135378	383	272	397	261	1881	561	687	353	281	226
ENSG00000060749	3932	1068	2262	4348	4795	8201	4608	8370	2872	2533
ENSG00000200615	0	0	0	0	0	0	0	1	0	0
ENSG00000121690	50	115	32	24	918	164	43	1540	21	19
ENSG00000176148	318	152	375	305	797	527	514	777	177	209
ENSG00000213713	4	2	0	7	2	4	1	2	1	2
ENSG00000280798	201	84	210	165	462	319	302	558	119	136
ENSG00000176102	1328	321	623	1058	1397	1528	1536	1709	1004	849
ENSG00000247151	14	5	3	10	28	14	10	13	2	6
ENSG00000206808	0	0	0	0	0	0	0	0	0	0
ENSG00000241950	0	0	0	0	0	0	0	0	0	0
ENSG00000200485	0	0	0	0	1	0	0	2	0	0
ENSG00000241255	6	1	3	3	1	17	9	4	3	4
ENSG00000110422	3754	742	2922	2301	6013	3259	6577	4058	1710	1634
ENSG00000254537	0	0	0	0	0	0	3	0	1	1
ENSG00000255207	1	0	0	4	0	0	1	0	1	0
ENSG00000110427	145	10	297	233	18	9	346	4	152	167
ENSG00000255202	3	2	0	0	0	4	2	0	0	0
ENSG00000085063	1620	396	1936	1490	2164	2566	2924	1234	1313	1156
ENSG00000205177	8	0	1	0	2	0	4	3	0	2
ENSG00000110429	799	112	790	458	977	1168	1458	962	488	436
ENSG00000254508	1	0	0	0	0	1	0	0	0	0
ENSG00000255272	1	0	0	0	0	1	0	0	0	0
ENSG00000255161	0	0	0	0	0	0	0	0	0	0
ENSG00000255169	0	0	0	0	0	0	0	0	0	0
ENSG00000254619	0	0	0	0	0	0	0	0	0	0
ENSG00000255133	0	0	0	0	0	0	0	0	0	0
ENSG00000135363	8	2	7	0	58	84	8	186	1	0
ENSG00000184566	0	0	0	0	0	0	0	0	0	0
ENSG00000135387	9803	3971	9637	10902	19569	18418	13766	24224	9220	8705
ENSG00000135372	1759	1205	1174	3441	4723	5371	1690	6059	2253	2265
ENSG00000166016	137	246	89	253	2243	650	168	742	89	110
ENSG00000201867	0	0	0	0	0	0	0	0	0	0
ENSG00000254708	9	13	5	15	38	12	27	12	5	5
ENSG00000220204	0	0	0	0	0	0	0	0	0	1
ENSG00000216708	0	0	0	0	0	0	0	0	0	0
ENSG00000121691	1042	428	1048	651	3877	1737	2649	1472	493	449
ENSG00000135374	0	1	1	0	44	19	0	0	0	0
ENSG00000255271	0	0	0	0	0	0	0	0	0	0
ENSG00000255427	0	0	0	0	2	0	0	0	0	0
ENSG00000135373	2335	1499	2002	1290	11670	3528	4641	2417	791	809
ENSG00000271369	0	0	0	0	5	0	1	2	0	0
ENSG00000270491	0	0	0	0	0	0	0	0	0	0
ENSG00000149089	612	179	324	512	819	603	811	1327	383	345
ENSG00000110435	883	244	646	902	1323	1097	1123	2562	794	674
ENSG00000251862	0	2	3	6	1	2	4	13	0	0
ENSG00000255521	0	0	1	0	1	5	0	2	0	0
ENSG00000026508	342	1448	1758	331	6606	29131	703	273	440	385
ENSG00000255443	0	0	1	0	0	2	0	0	0	0
ENSG00000251194	3	3	6	3	10	68	2	1	2	0
ENSG00000110436	3	0	2	0	14	1	2	1	1	0
ENSG00000255004	0	0	0	0	0	0	0	0	0	0
ENSG00000215380	0	0	0	0	0	0	0	0	0	0
ENSG00000255542	0	0	0	0	0	0	0	0	0	0
ENSG00000149090	0	0	0	0	4	0	0	0	0	0
ENSG00000254669	0	0	0	0	0	0	2	0	0	0
ENSG00000179431	143	119	68	379	548	438	136	426	207	218
ENSG00000254686	0	0	0	0	2	0	0	0	0	0
ENSG00000166326	1993	1094	1833	2056	5326	3539	3013	8078	1496	1387
ENSG00000186082	0	1	0	0	1	0	0	4	0	1
ENSG00000254919	0	0	0	0	0	0	0	1	0	0
ENSG00000179241	432	178	341	508	846	1617	469	1199	457	369
ENSG00000254672	0	0	0	0	0	0	0	0	0	0
ENSG00000255256	13	1	2	12	4	9	6	0	2	6
ENSG00000241228	0	0	0	0	0	0	0	0	0	0
ENSG00000263389	1	1	0	4	2	1	0	0	0	0
ENSG00000280321	15	9	11	34	25	20	15	17	9	11
ENSG00000110442	353	103	253	430	710	464	459	1244	268	270
ENSG00000135362	49	184	55	124	2564	15	58	19	73	55
ENSG00000254566	0	0	0	0	0	0	0	0	0	0
ENSG00000255186	4	5	0	4	61	0	2	0	1	0
ENSG00000255060	0	0	0	0	0	0	0	0	0	0
ENSG00000175104	347	101	315	373	662	577	527	948	241	246
ENSG00000280331	2	1	0	0	2	3	0	1	0	0
ENSG00000166349	14	17	29	2	153	34	26	126	4	1
ENSG00000175097	2	0	1	0	0	0	0	0	0	0
ENSG00000166352	87	41	147	60	294	147	213	224	74	68
ENSG00000254498	0	0	0	0	1	0	0	0	0	0
ENSG00000251838	0	0	0	0	0	0	0	0	0	0
ENSG00000242834	0	0	0	0	0	0	0	0	0	0
ENSG00000254516	0	0	0	0	0	0	0	0	0	0
ENSG00000279004	0	0	0	0	0	0	0	0	0	0
ENSG00000254784	0	0	0	0	0	0	0	0	0	0
ENSG00000255477	0	0	0	0	0	0	0	0	0	0
ENSG00000255175	0	0	0	0	0	0	0	0	0	0
ENSG00000254562	0	0	0	0	0	0	0	0	0	0
ENSG00000240975	0	0	0	0	0	0	0	0	0	0
ENSG00000201591	0	0	0	0	0	0	0	0	0	0
ENSG00000270588	0	0	0	0	0	0	0	0	0	0
ENSG00000255347	0	0	0	0	0	0	0	0	0	0
ENSG00000279675	0	0	0	0	0	0	0	0	0	0
ENSG00000148948	0	0	0	0	4	0	0	0	0	0
ENSG00000206806	0	0	0	0	0	0	0	0	0	0
ENSG00000254579	0	0	0	0	0	0	0	0	0	0
ENSG00000252922	0	0	0	0	1	0	0	0	0	0
ENSG00000255132	0	0	0	0	0	0	0	0	0	0
ENSG00000255388	0	0	0	0	0	0	0	0	0	0
ENSG00000242729	0	0	0	0	0	0	0	0	0	0
ENSG00000255563	0	0	0	0	0	0	0	0	0	0
ENSG00000255171	0	0	0	0	2	0	0	0	0	0
ENSG00000254668	0	0	0	0	0	0	0	0	0	0
ENSG00000255279	0	0	0	0	0	0	0	0	0	0
ENSG00000254822	0	0	0	0	0	0	0	0	0	0
ENSG00000255300	0	0	0	0	0	0	0	0	0	0
ENSG00000255109	0	0	0	0	0	0	0	0	0	0
ENSG00000254914	0	0	0	0	0	0	0	0	0	0
ENSG00000271028	0	0	0	0	0	0	0	0	0	0
ENSG00000254725	0	0	0	0	0	0	0	0	0	0
ENSG00000251557	0	0	0	0	0	0	0	0	1	0
ENSG00000166181	4379	946	2023	4023	4599	5516	4367	7351	3700	3390
ENSG00000254907	1	0	2	3	0	1	2	1	0	0
ENSG00000252652	16	1	5	18	7	5	20	9	3	5
ENSG00000052841	2172	519	2826	2056	2473	2635	4523	4157	1359	1352
ENSG00000255340	0	0	1	0	0	0	0	0	0	1
ENSG00000254577	24	0	5	14	10	16	24	31	0	4
ENSG00000252355	0	0	0	0	0	0	0	0	0	0
ENSG00000254463	24	11	6	35	32	19	19	40	11	10
ENSG00000213697	0	0	0	0	0	0	0	0	0	0
ENSG00000283217	0	0	0	0	0	0	0	0	0	0
ENSG00000211568	0	0	0	0	0	0	0	0	0	0
ENSG00000235661	0	0	0	0	0	1	0	0	0	0
ENSG00000283341	55	3	49	55	14	22	71	91	40	48
ENSG00000199077	0	0	0	0	0	0	0	0	0	0
ENSG00000149084	2164	520	1328	1214	2561	2335	2426	4131	1690	1386
ENSG00000243721	0	0	0	0	0	0	1	0	0	0
ENSG00000283393	0	0	0	0	0	0	0	0	0	0
ENSG00000254512	0	0	0	0	0	0	0	0	0	0
ENSG00000283483	0	0	0	0	0	0	0	0	0	0
ENSG00000246250	2	0	1	1	0	1	0	3	0	0
ENSG00000283375	0	0	0	0	0	0	1	1	0	0
ENSG00000166199	357	84	431	454	405	538	663	1161	274	303
ENSG00000213693	56	11	43	65	23	37	64	83	25	29
ENSG00000244926	0	0	0	0	0	0	0	0	0	0
ENSG00000254409	11	0	1	18	2	5	11	13	5	1
ENSG00000187479	1	0	2	2	0	2	4	26	1	2
ENSG00000244953	0	0	0	0	0	4	0	0	0	0
ENSG00000205126	0	0	0	0	0	4	0	0	0	0
ENSG00000110455	66	31	92	42	240	368	170	1340	18	18
ENSG00000255165	4	0	6	0	5	15	5	31	0	3
ENSG00000151348	906	470	940	1353	2917	1881	1289	2470	1072	975
ENSG00000052850	0	0	0	0	0	0	0	0	0	0
ENSG00000255451	0	0	0	0	0	0	0	0	0	0
ENSG00000255106	0	0	0	0	0	0	0	0	0	0
ENSG00000085117	66	188	132	95	1697	193	117	1664	73	66
ENSG00000254693	0	2	0	0	1	0	0	0	0	0
ENSG00000255092	0	0	0	0	1	0	0	0	0	0
ENSG00000244267	0	0	0	2	5	0	2	9	1	1
ENSG00000275725	0	0	0	0	0	0	0	0	0	0
ENSG00000255079	0	0	0	0	1	1	0	0	0	0
ENSG00000255032	0	0	0	0	0	0	0	0	0	0
ENSG00000157570	0	0	0	0	0	634	0	0	0	0
ENSG00000175274	506	58	737	253	554	1454	1110	10	156	198
ENSG00000254654	0	0	0	0	0	0	0	0	0	0
ENSG00000019485	148	76	201	244	531	518	255	1034	74	111
ENSG00000254664	0	0	0	0	0	0	0	0	0	0
ENSG00000019505	0	3	4	1	29	116	4	209	0	0
ENSG00000254497	0	0	0	0	0	0	0	0	0	0
ENSG00000254427	0	0	0	0	0	0	0	0	0	0
ENSG00000255267	0	0	0	0	0	0	0	0	0	0
ENSG00000255041	0	0	0	0	0	0	0	0	0	0
ENSG00000254651	0	0	0	0	0	0	0	0	0	0
ENSG00000254746	0	0	0	0	0	0	0	0	0	0
ENSG00000255519	0	0	0	0	0	0	0	0	0	0
ENSG00000254514	0	0	0	0	0	0	0	0	0	0
ENSG00000175264	0	0	0	0	2	6	0	3	0	0
ENSG00000255091	0	0	0	0	0	0	0	0	0	0
ENSG00000276639	0	0	0	0	0	0	0	0	0	0
ENSG00000254519	0	0	1	0	0	0	0	0	0	0
ENSG00000255426	0	0	0	0	0	0	0	0	0	0
ENSG00000255226	0	0	0	0	0	0	0	0	0	0
ENSG00000205106	0	0	0	0	0	0	1	0	0	0
ENSG00000181830	424	213	330	720	1667	1106	449	1713	391	399
ENSG00000255447	0	0	1	5	0	1	5	6	0	3
ENSG00000121671	222	65	336	335	666	530	451	699	172	166
ENSG00000121653	16	6	34	13	94	574	28	157	4	2
ENSG00000255498	5	0	2	4	1	3	0	11	0	0
ENSG00000234776	8	1	3	18	1	10	13	50	2	7
ENSG00000121680	156	50	191	261	391	409	184	1181	103	131
ENSG00000165905	448	35	315	692	240	1754	463	4225	259	298
ENSG00000135365	514	116	705	245	952	1378	1137	1996	204	184
ENSG00000254653	0	0	0	0	0	2	0	0	0	0
ENSG00000255314	1	0	4	3	0	0	10	2	1	0
ENSG00000254871	0	0	0	0	0	0	0	0	0	0
ENSG00000255269	0	0	0	0	2	0	0	0	0	0
ENSG00000254639	0	5	2	0	1	2	9	0	1	1
ENSG00000255007	0	1	1	0	3	0	7	0	0	0
ENSG00000157613	4	43	14	0	1971	13	17	7	0	0
ENSG00000149091	649	520	617	1273	3339	3148	679	5180	554	555
ENSG00000264102	0	2	0	0	0	0	0	0	1	0
ENSG00000110492	77	207	264	44	1387	3771	402	2384	21	25
ENSG00000180720	5	3	31	1	5	47	24	8	0	1
ENSG00000110497	792	270	683	1068	2001	1639	1036	2303	549	553
ENSG00000244313	124	10	43	105	52	123	183	159	44	31
ENSG00000265014	1	0	0	0	0	0	0	0	0	0
ENSG00000283497	0	0	0	0	0	0	0	0	0	0
ENSG00000180423	54	20	58	54	173	93	59	170	36	40
ENSG00000175224	991	378	1258	1132	2719	2375	1736	4413	731	740
ENSG00000175220	776	381	671	1294	3143	2227	1108	2781	539	535
ENSG00000175213	140	55	172	301	395	299	253	614	105	118
ENSG00000180210	1	0	0	9	1	1	1	11	4	7
ENSG00000175216	3846	3344	3476	4730	15352	11511	4773	16761	3665	3426
ENSG00000263540	3	3	1	0	1	0	1	0	2	2
ENSG00000252427	3	4	3	5	5	5	9	2	1	3
ENSG00000212135	11	3	7	14	11	8	6	8	4	6
ENSG00000247675	7	3	7	0	11	7	4	5	2	0
ENSG00000134569	361	167	221	825	1053	671	387	1598	489	497
ENSG00000149179	245	108	350	283	670	645	446	1327	170	189
ENSG00000271350	0	0	0	0	0	0	0	0	0	0
ENSG00000255520	0	0	0	2	0	0	1	0	0	1
ENSG00000149182	990	334	881	1562	2253	1982	1321	3614	894	874
ENSG00000270060	17	3	5	27	28	50	27	59	13	24
ENSG00000165912	275	242	280	390	955	1501	404	1121	241	215
ENSG00000275208	0	0	2	0	0	1	0	1	1	1
ENSG00000243802	3	1	1	2	4	3	4	7	0	0
ENSG00000134574	349	91	260	324	527	1246	525	1196	163	191
ENSG00000256897	0	0	0	1	0	0	1	0	0	0
ENSG00000134575	440	147	390	672	1545	603	627	1272	404	358
ENSG00000025434	203	106	198	224	1038	322	352	603	155	134
ENSG00000110514	1578	606	1611	1811	4870	2853	2235	4636	926	1034
ENSG00000256746	0	0	0	0	0	0	0	0	0	0
ENSG00000283338	7	2	0	7	4	2	4	8	3	3
ENSG00000134571	0	0	0	0	16	5	0	2	0	0
ENSG00000066336	0	0	2	0	2	0	3	0	0	0
ENSG00000255197	0	0	0	1	0	0	0	1	0	0
ENSG00000264583	0	0	0	0	0	0	0	0	0	0
ENSG00000165915	250	63	254	520	872	535	392	936	235	228
ENSG00000165916	2000	999	1418	2950	4463	3852	2025	4006	2465	2334
ENSG00000165917	13	0	0	11	0	30	9	35	3	2
ENSG00000149187	4444	1536	2802	5349	7467	7762	4988	10504	3741	3777
ENSG00000270072	30	11	4	38	6	5	23	15	5	7
ENSG00000265559	9	1	2	5	6	11	5	12	1	0
ENSG00000213619	922	322	702	1375	1582	1562	995	1926	1069	1050
ENSG00000110536	152	65	129	233	239	239	142	443	210	206
ENSG00000123444	424	82	471	452	639	599	637	776	292	278
ENSG00000200376	2	0	2	1	1	1	0	0	0	1
ENSG00000231880	20	1	3	21	7	9	4	18	7	8
ENSG00000196666	8	0	1	4	3	1	6	4	1	1
ENSG00000172247	0	1	2	2	1	6	7	6	4	2
ENSG00000109919	1829	876	978	2097	3994	2942	1493	3754	1813	1813
ENSG00000165923	21	3	110	27	68	0	76	193	6	11
ENSG00000109920	2408	481	1975	2336	2388	3074	3596	5110	1382	1437
ENSG00000200090	13	5	13	20	6	26	17	13	6	5
ENSG00000030066	2580	1054	1403	3533	5600	4577	2459	7771	2521	2468
ENSG00000271543	0	0	0	0	0	0	0	0	0	0
ENSG00000252941	2	0	1	0	0	0	0	3	0	0
ENSG00000252874	15	4	1	21	8	11	18	9	6	4
ENSG00000271557	0	0	0	0	0	0	0	0	0	0
ENSG00000254780	2	0	0	0	0	0	0	0	0	0
ENSG00000149177	1215	557	1211	1038	4240	2906	1980	6898	829	797
ENSG00000254879	0	0	0	0	0	0	0	0	0	0
ENSG00000263693	0	0	0	2	6	7	3	5	0	0
ENSG00000175619	0	0	0	0	0	0	0	0	0	0
ENSG00000255514	0	0	0	0	0	0	0	0	0	0
ENSG00000172208	0	0	0	0	0	0	0	0	0	0
ENSG00000176567	0	0	0	0	0	0	0	0	0	0
ENSG00000176555	0	0	0	0	0	0	0	0	0	0
ENSG00000176547	0	0	0	0	0	0	0	0	0	0
ENSG00000197161	0	0	0	0	0	0	0	0	0	0
ENSG00000176540	0	0	0	0	0	0	0	0	0	0
ENSG00000182565	0	0	0	0	0	0	0	0	0	0
ENSG00000184789	0	0	0	0	0	0	0	0	0	0
ENSG00000254925	0	0	0	0	0	0	0	0	0	0
ENSG00000255215	0	0	0	0	0	0	0	0	0	0
ENSG00000237388	0	0	0	0	0	0	0	1	0	0
ENSG00000255113	0	0	0	0	0	0	0	0	0	0
ENSG00000255304	0	0	0	0	0	0	0	0	0	0
ENSG00000254832	0	0	0	0	0	0	0	0	0	0
ENSG00000255534	0	0	0	0	0	0	0	0	0	0
